attribute,f1,n_positive,threshold
Male,0.9864,8458,0.4
No_Beard,0.977,16338,0.15
Eyeglasses,0.9709,1383,0.85
Mouth_Slightly_Open,0.9379,9573,0.45
Smiling,0.9255,9602,0.35
Wearing_Lipstick,0.9217,8860,0.75
Young,0.9188,14832,0.3
Heavy_Makeup,0.8995,7751,0.7
Wearing_Hat,0.8881,940,0.85
High_Cheekbones,0.8631,8926,0.5
Bangs,0.8628,2915,0.85
Blond_Hair,0.8596,3056,0.85
Attractive,0.8241,10332,0.4
Black_Hair,0.8055,4144,0.75
Wearing_Earrings,0.789,3789,0.7
Gray_Hair,0.7805,967,0.85
Sideburns,0.7778,1367,0.85
Wavy_Hair,0.7755,5495,0.7
Wearing_Necktie,0.7751,1443,0.85
Bald,0.7705,411,0.85
Goatee,0.7687,1464,0.85
5_o_Clock_Shadow,0.7538,2345,0.8
Arched_Eyebrows,0.7346,5134,0.65
Bushy_Eyebrows,0.727,2831,0.8
Brown_Hair,0.716,4793,0.7
Big_Nose,0.6545,4943,0.55
Chubby,0.653,1216,0.85
Straight_Hair,0.6505,4085,0.7
Rosy_Cheeks,0.6471,1358,0.85
Mustache,0.6442,1003,0.85
Double_Chin,0.6401,975,0.85
Receding_Hairline,0.6385,1429,0.85
Blurry,0.6309,940,0.85
Bags_Under_Eyes,0.6229,4121,0.6
Pale_Skin,0.6068,856,0.85
Pointy_Nose,0.5839,5660,0.5
Narrow_Eyes,0.569,1492,0.85
Oval_Face,0.5359,5565,0.45
Wearing_Necklace,0.5315,2396,0.75
Big_Lips,0.4481,3044,0.65
