epoch,kl_w,train_recon,train_kl,val_recon,val_kl
0,0.0,0.14223,32.1756,0.08704,13.73326
1,0.05,0.11263,0.6727,0.09456,0.46349
2,0.1,0.10107,0.3093,0.09787,0.30278
3,0.15,0.10542,0.22429,0.10383,0.22059
4,0.2,0.11118,0.17243,0.11053,0.16538
5,0.25,0.1165,0.13961,0.11628,0.13664
6,0.3,0.12116,0.11704,0.1206,0.11556
7,0.35,0.12411,0.10133,0.12487,0.09717
8,0.4,0.12784,0.08948,0.12837,0.08677
9,0.45,0.13135,0.07976,0.13202,0.07685
10,0.5,0.13457,0.07193,0.13428,0.07042
11,0.5,0.13471,0.07075,0.13474,0.06974
12,0.5,0.13454,0.07014,0.13591,0.06641
13,0.5,0.13388,0.06986,0.13397,0.06871
14,0.5,0.13369,0.06976,0.13356,0.06945
15,0.5,0.13361,0.06966,0.13326,0.06945
16,0.5,0.13352,0.06956,0.13351,0.06851
17,0.5,0.13339,0.06952,0.1337,0.06802
18,0.5,0.13333,0.06944,0.13323,0.06856
19,0.5,0.13283,0.06919,0.13287,0.06855
20,0.5,0.13274,0.06928,0.13329,0.06764
21,0.5,0.13269,0.06928,0.13245,0.06899
22,0.5,0.13254,0.06929,0.1325,0.06882
23,0.5,0.13252,0.06922,0.13257,0.06881
24,0.5,0.13248,0.06929,0.13242,0.06884
25,0.5,0.13218,0.06929,0.13231,0.06849
26,0.5,0.13217,0.06914,0.13244,0.06857
27,0.5,0.13211,0.06922,0.13227,0.0685
28,0.5,0.13209,0.06912,0.13249,0.06797
29,0.5,0.13201,0.06916,0.13204,0.06875
30,0.5,0.13197,0.06917,0.1322,0.06856
31,0.5,0.13187,0.06919,0.13181,0.06888
32,0.5,0.13185,0.06914,0.13215,0.06846
33,0.5,0.13186,0.06919,0.13209,0.06834
34,0.5,0.13179,0.06917,0.13208,0.06827
35,0.5,0.13177,0.06921,0.13195,0.06868
36,0.5,0.13176,0.06919,0.13201,0.06833
37,0.5,0.13169,0.06909,0.1319,0.06839
38,0.5,0.13166,0.06914,0.13185,0.06826
39,0.5,0.13167,0.0692,0.13181,0.06885
40,0.5,0.13163,0.06917,0.13188,0.06834
41,0.5,0.13166,0.0691,0.13177,0.0686
42,0.5,0.1316,0.0692,0.13207,0.06834
43,0.5,0.13165,0.06914,0.13185,0.06858
44,0.5,0.13159,0.06924,0.13163,0.06885
45,0.5,0.13157,0.06914,0.13181,0.06849
46,0.5,0.13159,0.06912,0.13181,0.06862
47,0.5,0.13157,0.06916,0.13157,0.06889
48,0.5,0.13159,0.06911,0.13178,0.06883
49,0.5,0.13159,0.06913,0.13179,0.06847
