epoch,kl_w,train_recon,train_l1,train_kl,val_recon,val_l1,val_kl
0,0.0,3619.01523,9249.11417,1127796.99502,1872.76636,6627.9792,242722.59726
1,0.1,2724.51844,7829.44374,15558.00267,1530.74579,5815.30443,899.9042
2,0.2,1435.666,5608.45997,699.01396,1265.08858,5276.68325,666.9059
3,0.3,1200.38562,5071.91913,579.30799,1154.65357,4989.7821,585.20873
4,0.4,1086.96753,4800.11919,525.00758,1060.35573,4831.54103,518.39413
5,0.5,1025.75512,4655.39689,489.04275,1016.02161,4616.96627,492.14859
6,0.6,990.66294,4569.67938,458.56782,980.41872,4534.19048,447.23472
7,0.7,973.27864,4527.30304,432.58648,967.62255,4511.74691,421.2684
8,0.8,965.18341,4510.09014,409.84062,980.68821,4597.98452,399.89237
9,0.9,961.98949,4503.46616,389.54826,999.27024,4568.3102,374.64652
10,1.0,965.47188,4514.88326,371.73789,989.27605,4540.65135,367.33619
11,1.0,947.73883,4467.30933,368.44953,969.2572,4560.05369,364.17054
12,1.0,937.36003,4439.59247,366.19868,962.79398,4466.49881,371.06345
13,1.0,927.42968,4413.27718,364.38912,986.44357,4598.75351,354.21421
14,1.0,920.82721,4398.12884,363.10931,952.20198,4449.24806,363.17616
15,1.0,912.1444,4373.35815,361.88168,938.16912,4426.49791,360.10387
16,1.0,904.40724,4352.3449,361.06893,943.10646,4416.16952,355.55939
17,1.0,899.56985,4342.02535,360.17621,942.04454,4450.63329,354.21699
18,1.0,889.54161,4314.66347,359.64636,944.23824,4464.80102,347.25781
19,1.0,885.9205,4306.6339,359.02302,931.1436,4374.2217,356.99333
20,1.0,879.53674,4288.81332,358.77837,919.07286,4353.49056,357.37549
21,1.0,876.1387,4282.21861,358.19622,929.97524,4380.66855,358.20344
22,1.0,869.59286,4265.348,358.04376,917.33693,4325.09425,360.45629
23,1.0,866.08326,4255.80998,357.69222,916.36377,4354.76013,352.39858
24,1.0,861.21025,4243.23612,357.52621,917.52969,4325.9037,367.73843
25,1.0,855.34696,4229.19424,357.49102,921.68242,4346.29666,362.86944
26,1.0,851.09322,4216.38299,357.16803,925.76772,4351.76622,361.33962
27,1.0,848.45346,4210.91628,357.17073,916.98434,4346.57379,353.90078
28,1.0,844.68894,4203.62775,356.94904,907.51415,4308.82046,351.87822
29,1.0,843.10808,4199.36527,356.88354,929.48512,4405.00564,348.11662
