epoch,kl_w,train_sigma,train_mse,train_perc,train_kl,val_sigma,val_mse,val_perc,val_kl
0,0.0,-62787.34687,0.11127541,0.34614,30640.78841,-78108.53326,0.04515664,0.2498,14147.32159
1,10.0,-75767.23267,0.05312786,0.24694,603.54983,-82294.75662,0.03891704,0.22627,431.25867
2,20.0,-82871.20718,0.03788847,0.21981,322.95328,-85126.08231,0.0344797,0.21288,291.50357
3,30.0,-85476.73163,0.03403389,0.20791,264.11879,-87684.63059,0.031107,0.19909,255.33583
4,40.0,-87297.59335,0.03149879,0.19794,230.14166,-88553.86914,0.03002129,0.19451,229.36499
5,50.0,-87820.79595,0.03087599,0.19389,208.714,-88367.28174,0.03018934,0.19244,206.28387
6,60.0,-87749.43333,0.03099228,0.19214,190.27464,-87830.6138,0.03080954,0.19198,187.0983
7,70.0,-87187.10657,0.03169752,0.19214,173.04227,-87430.21066,0.03137025,0.19089,169.51946
8,80.0,-86607.4865,0.03245685,0.19251,157.91533,-86628.26884,0.03249592,0.19252,152.90649
9,90.0,-85867.16847,0.03346007,0.19341,144.23523,-85208.38414,0.03427976,0.19384,142.99691
10,100.0,-84935.05481,0.0347384,0.19487,131.63956,-84711.02417,0.03500613,0.19436,128.56115
11,100.0,-86054.69647,0.03337198,0.19139,132.88322,-85838.47915,0.03362666,0.19083,130.14383
12,100.0,-86170.30554,0.03322552,0.19072,132.91565,-85928.50748,0.03355563,0.19188,129.00779
13,100.0,-86361.07187,0.03300262,0.18998,133.02651,-86291.3886,0.03308176,0.1903,131.44771
14,100.0,-86451.45769,0.03289647,0.18943,132.81709,-86418.64113,0.03293053,0.19009,133.55068
15,100.0,-86554.39785,0.03277335,0.18889,132.77347,-86355.74534,0.03303899,0.18925,130.57263
16,100.0,-86661.14519,0.03265096,0.18831,132.74307,-86685.10942,0.03265876,0.18983,134.04899
17,100.0,-87314.82265,0.03189996,0.18646,134.294,-87306.67944,0.03193112,0.18672,135.18144
18,100.0,-87461.65258,0.03172801,0.18598,134.73166,-86961.35711,0.03230896,0.18707,132.90235
19,100.0,-87550.82024,0.03162845,0.18565,134.88835,-87236.09531,0.031998,0.18662,133.38949
