epoch,kl_w,train_recon,train_l1,train_perc,train_kl,val_recon,val_l1,val_perc,val_kl
0,0.0,5183.34858,11068.48742,0.36805,20924.25692,2295.58295,7383.31591,0.25355,8763.95354
1,0.1,1947.0709,6720.96714,0.22784,1388.7257,1624.70539,6038.45892,0.20826,964.23738
2,0.2,1469.61264,5746.94256,0.19337,715.84153,1315.93048,5388.39679,0.18162,694.82305
3,0.3,1248.60324,5245.95106,0.17179,595.16013,1193.09044,5102.28477,0.16551,587.26312
4,0.4,1152.67052,5034.65341,0.16121,544.89182,1083.86969,4824.02758,0.15602,525.38445
5,0.5,1088.2024,4880.74906,0.15427,506.59043,1074.54725,4918.1696,0.15216,500.82599
6,0.6,1059.63196,4812.21679,0.15044,475.21527,1046.31477,4755.06274,0.14805,465.54205
7,0.7,1050.63151,4797.03658,0.14853,448.18871,1038.19514,4720.89812,0.14763,444.23345
8,0.8,1040.81318,4767.36039,0.14691,424.38102,1017.60145,4653.82907,0.14634,419.53773
9,0.9,1035.16743,4750.64839,0.14563,403.59243,1081.89764,4868.71052,0.14681,402.05829
10,1.0,1041.2946,4772.82052,0.14529,385.23687,1038.39082,4753.67494,0.14488,380.19268
11,1.0,1023.69874,4717.84561,0.14361,381.47514,1032.13184,4755.81313,0.1449,377.83688
12,1.0,1015.59499,4695.22389,0.14249,378.85575,1041.30591,4733.70743,0.14579,374.34736
13,1.0,1001.15255,4649.69432,0.14099,376.86207,1002.65912,4636.91804,0.14183,372.99566
14,1.0,991.03406,4619.03883,0.13991,375.06105,1003.96606,4629.63989,0.14388,373.57698
15,1.0,983.29774,4596.56,0.13887,373.66986,991.98271,4578.58185,0.14091,374.21115
16,1.0,976.06393,4575.73175,0.13795,372.63174,1006.63932,4631.2347,0.14198,372.40746
17,1.0,965.5551,4542.89527,0.13686,371.75136,985.06291,4570.13905,0.13927,366.52522
18,1.0,959.93552,4527.70561,0.13612,370.98005,978.90624,4573.00969,0.13736,372.39356
19,1.0,951.95179,4502.60777,0.1352,370.22079,987.67824,4609.09013,0.13841,373.05865
