epoch,kl_w,train_sigma,train_mse,train_perc,train_kl,val_sigma,val_mse,val_perc,val_kl
0,0.0,-65348.93023,0.09869837,0.0,24823.00308,-80521.17958,0.04132019,0.0,12487.31023
1,0.1,-84859.53464,0.03495616,0.0,5793.14898,-88808.08204,0.02988088,0.0,4316.48356
2,0.2,-91047.56464,0.02727749,0.0,3158.43624,-92966.03244,0.02515056,0.0,2723.27292
3,0.3,-95205.02497,0.02303897,0.0,2212.93714,-95955.50784,0.02234659,0.0,1936.74146
4,0.4,-97766.06613,0.02084173,0.0,1748.55428,-98016.93848,0.02060092,0.0,1682.26052
5,0.5,-99206.89212,0.01970683,0.0,1502.46415,-99815.83209,0.01927295,0.0,1425.00418
6,0.6,-100209.60804,0.01896429,0.0,1348.51364,-100383.61737,0.01882967,0.0,1301.33323
7,0.7,-100927.26471,0.01846251,0.0,1239.48271,-100313.03847,0.01887754,0.0,1217.18805
8,0.8,-101517.25906,0.0180642,0.0,1158.65686,-102222.90412,0.01767082,0.0,1137.13398
9,0.9,-102086.49911,0.01769297,0.0,1089.90443,-101686.58124,0.01797181,0.0,1057.44242
10,1.0,-102526.64999,0.01741411,0.0,1039.93541,-101829.93659,0.01787207,0.0,1026.89898
11,1.0,-102839.82848,0.01721517,0.0,1018.18514,-102672.64,0.01735916,0.0,1019.98723
12,1.0,-103232.73805,0.0169724,0.0,1001.86773,-102874.91637,0.01724522,0.0,992.43718
13,1.0,-103545.70355,0.01678271,0.0,990.8404,-103258.64086,0.01701019,0.0,983.6103
14,1.0,-103863.35487,0.01659535,0.0,979.64754,-103381.0051,0.01693531,0.0,967.64442
15,1.0,-103992.84831,0.01651243,0.0,972.79992,-103816.19838,0.01669632,0.0,965.81581
16,1.0,-104244.76304,0.01636345,0.0,967.55945,-103595.10682,0.01680842,0.0,973.66527
17,1.0,-104388.44784,0.01627576,0.0,962.48671,-103581.40525,0.01679537,0.0,964.67336
18,1.0,-104673.34217,0.01611381,0.0,955.87675,-103687.97211,0.01674996,0.0,954.60578
19,1.0,-104789.83348,0.01604315,0.0,952.2159,-104068.96208,0.01654242,0.0,950.1183
