epoch,kl_w,train_sigma,train_mse,train_perc,train_kl,val_sigma,val_mse,val_perc,val_kl
0,0.0,-65348.93023,0.09869837,0.0,24823.00308,-80521.17958,0.04132019,0.0,12487.31023
1,10.0,-76597.97621,0.05175863,0.0,603.19747,-83035.36577,0.0375611,0.0,476.09653
2,20.0,-83471.97771,0.03693152,0.0,315.64437,-85758.19368,0.03352767,0.0,291.24388
3,30.0,-86269.70367,0.03286026,0.0,253.25167,-87610.41757,0.03107858,0.0,253.08193
4,40.0,-87826.81265,0.03084249,0.0,230.54994,-88318.20728,0.03033166,0.0,227.25569
5,50.0,-88050.78383,0.03059686,0.0,208.98979,-88257.77467,0.03036736,0.0,199.4684
6,60.0,-87737.64421,0.03098743,0.0,189.09125,-88011.11234,0.03062309,0.0,186.92143
7,70.0,-87231.38596,0.03165285,0.0,171.64752,-87360.95822,0.03148345,0.0,169.52691
8,80.0,-86564.20797,0.03254022,0.0,155.97566,-87005.46655,0.03213585,0.0,153.96266
9,90.0,-85799.98284,0.03357891,0.0,142.05337,-85895.16103,0.03344697,0.0,142.85118
10,100.0,-84933.2089,0.03479156,0.0,129.69916,-84765.1658,0.03503038,0.0,132.35086
11,100.0,-85963.31418,0.03352835,0.0,130.45467,-85721.77825,0.03378017,0.0,127.6031
12,100.0,-86160.30405,0.03329093,0.0,130.64398,-86157.48233,0.03330045,0.0,130.13183
13,100.0,-86216.05671,0.03322213,0.0,130.27232,-86290.19949,0.03313703,0.0,129.73677
14,100.0,-86372.14765,0.03304683,0.0,130.25143,-86049.8998,0.03345764,0.0,127.80733
15,100.0,-86478.37324,0.03291869,0.0,130.14308,-86035.94334,0.03345298,0.0,126.99475
16,100.0,-86597.78695,0.0327831,0.0,130.16068,-86471.63635,0.03296927,0.0,128.67954
17,100.0,-87208.24011,0.03207771,0.0,131.48279,-87044.462,0.03229269,0.0,131.06243
18,100.0,-87329.20454,0.03193816,0.0,131.81758,-87175.02116,0.03214723,0.0,131.14307
19,100.0,-87406.56023,0.03184626,0.0,131.94217,-87277.81047,0.0320102,0.0,131.92632
